nombre_municipio,asegurados,fecha
La Barca                      ,7109,01/12/2020
La Huerta                     ,2463,01/12/2020
La Manzanilla de la Paz       ,93,01/12/2020
Lagos de Moreno               ,38545,01/12/2020
Magdalena                     ,1804,01/12/2020
Mascota                       ,1276,01/12/2020
Mazamitla                     ,976,01/12/2020
Mexticacán                    ,52,01/12/2020
Mezquitic                     ,307,01/12/2020
Mixtlán                       ,40,01/12/2020
Ocotlán                       ,25737,01/12/2020
Ojuelos de Jalisco            ,2147,01/12/2020
Pihuamo                       ,523,01/12/2020
Poncitlán                     ,4809,01/12/2020
Puerto Vallarta               ,79251,01/12/2020
Quitupan                      ,22,01/12/2020
San Cristóbal de la Barranca  ,68,01/12/2020
San Diego de Alejandría       ,85,01/12/2020
San Gabriel                   ,3876,01/12/2020
San Ignacio Cerro Gordo       ,663,01/12/2020
San Juan de los Lagos         ,14082,01/12/2020
San Juanito de Escobedo       ,431,01/12/2020
San Julián                    ,898,01/12/2020
San Marcos                    ,31,01/12/2020
San Martín de Bolaños         ,339,01/12/2020
San Martín Hidalgo            ,1048,01/12/2020
San Miguel el Alto            ,3755,01/12/2020
San Pedro Tlaquepaque         ,116521,01/12/2020
San Sebastián del Oeste       ,107,01/12/2020
Santa María de los Ángeles    ,19,01/12/2020
Santa María del Oro           ,1,01/12/2020
Sayula                        ,4824,01/12/2020
Tala                          ,16444,01/12/2020
Talpa de Allende              ,474,01/12/2020
Tamazula de Gordiano          ,8396,01/12/2020
Tapalpa                       ,2654,01/12/2020
Tecalitlán                    ,971,01/12/2020
Techaluta de Montenegro       ,160,01/12/2020
Tecolotlán                    ,958,01/12/2020
Tenamaxtlán                   ,368,01/12/2020
Teocaltiche                   ,2687,01/12/2020
Teocuitatlán de Corona        ,533,01/12/2020
Tepatitlán de Morelos         ,42398,01/12/2020
Tequila                       ,7224,01/12/2020
Teuchitlán                    ,709,01/12/2020
Tizapán el Alto               ,1263,01/12/2020
Tlajomulco de Zúñiga          ,92567,01/12/2020
Tolimán                       ,958,01/12/2020
Tomatlán                      ,2033,01/12/2020
Tonalá                        ,35842,01/12/2020
Tonaya                        ,946,01/12/2020
Tonila                        ,454,01/12/2020
Totatiche                     ,461,01/12/2020
Tototlán                      ,1990,01/12/2020
Tuxcacuesco                   ,2831,01/12/2020
Tuxcueca                      ,426,01/12/2020
Tuxpan                        ,4104,01/12/2020
Unión de San Antonio          ,1176,01/12/2020
Unión de Tula                 ,664,01/12/2020
Valle de Guadalupe            ,1973,01/12/2020
Valle de Juárez               ,629,01/12/2020
Villa Corona                  ,1047,01/12/2020
Villa Guerrero                ,41,01/12/2020
Villa Hidalgo                 ,676,01/12/2020
Villa Purificación            ,207,01/12/2020
Yahualica de González Gallo   ,1046,01/12/2020
Zacoalco de Torres            ,2993,01/12/2020
Zapopan                       ,418307,01/12/2020
Zapotiltic                    ,7675,01/12/2020
Zapotitlán de Vadillo         ,44,01/12/2020
Zapotlán del Rey              ,2550,01/12/2020
Zapotlán el Grande            ,43535,01/12/2020
Zapotlanejo                   ,7170,01/12/2020
Acatic                        ,5146,01/12/2021
Acatlán de Juárez             ,8695,01/12/2021
Ahualulco de Mercado          ,1463,01/12/2021
Amacueca                      ,95,01/12/2021
Amatitán                      ,2897,01/12/2021
Ameca                         ,8277,01/12/2021
Arandas                       ,14261,01/12/2021
Atemajac de Brizuela          ,725,01/12/2021
Atengo                        ,37,01/12/2021
Atenguillo                    ,99,01/12/2021
Atotonilco el Alto            ,11642,01/12/2021
Atoyac                        ,585,01/12/2021
Autlán de Navarro             ,11530,01/12/2021
Ayotlán                       ,4263,01/12/2021
Ayutla                        ,363,01/12/2021
Bolaños                       ,691,01/12/2021
Cabo Corrientes               ,598,01/12/2021
Cañadas de Obregón            ,98,01/12/2021
Casimiro Castillo             ,3523,01/12/2021
Chapala                       ,7591,01/12/2021
Chimaltitán                   ,3,01/12/2021
Chiquilistlán                 ,184,01/12/2021
Cihuatlán                     ,2615,01/12/2021
Cocula                        ,3239,01/12/2021
Colotlán                      ,622,01/12/2021
Concepción de Buenos Aires    ,120,01/12/2021
Cuautitlán de García Barragán ,64,01/12/2021
Cuautla                       ,136,01/12/2021
Cuquío                        ,370,01/12/2021
Degollado                     ,979,01/12/2021
Ejutla                        ,8,01/12/2021
El Arenal                     ,3682,01/12/2021
El Grullo                     ,3007,01/12/2021
El Limón                      ,170,01/12/2021
El Salto                      ,64054,01/12/2021
Encarnación de Díaz           ,4414,01/12/2021
Etzatlán                      ,739,01/12/2021
Gómez Farías                  ,2724,01/12/2021
Guachinango                   ,155,01/12/2021
Guadalajara                   ,1045798,01/12/2021
Hostotipaquillo               ,206,01/12/2021
Huejúcar                      ,131,01/12/2021
Huejuquilla el Alto           ,990,01/12/2021
Ixtlahuacán de los Membrillos ,5085,01/12/2021
Ixtlahuacán del Río           ,1285,01/12/2021
Jalostotitlán                 ,3207,01/12/2021
Jamay                         ,1444,01/12/2021
Jesús María                   ,2154,01/12/2021
Jilotlán de los Dolores       ,59,01/12/2021
Jocotepec                     ,9290,01/12/2021
Juanacatlán                   ,1980,01/12/2021
Juchitlán                     ,140,01/12/2021
La Barca                      ,7386,01/12/2021
La Huerta                     ,2371,01/12/2021
La Manzanilla de la Paz       ,142,01/12/2021
Lagos de Moreno               ,38596,01/12/2021
Magdalena                     ,1915,01/12/2021
Mascota                       ,1233,01/12/2021
Mazamitla                     ,1106,01/12/2021
Mexticacán                    ,13,01/12/2021
Mezquitic                     ,302,01/12/2021
Mixtlán                       ,45,01/12/2021
Ocotlán                       ,26764,01/12/2021
Ojuelos de Jalisco            ,2286,01/12/2021
Pihuamo                       ,644,01/12/2021
Poncitlán                     ,5887,01/12/2021
Puerto Vallarta               ,82787,01/12/2021
Quitupan                      ,19,01/12/2021
San Cristóbal de la Barranca  ,139,01/12/2021
San Diego de Alejandría       ,71,01/12/2021
San Gabriel                   ,3774,01/12/2021
San Ignacio Cerro Gordo       ,898,01/12/2021
San Juan de los Lagos         ,15836,01/12/2021
San Juanito de Escobedo       ,556,01/12/2021
San Julián                    ,943,01/12/2021
San Marcos                    ,29,01/12/2021
San Martín de Bolaños         ,98,01/12/2021
San Martín Hidalgo            ,1174,01/12/2021
San Miguel el Alto            ,4027,01/12/2021
San Pedro Tlaquepaque         ,131752,01/12/2021
San Sebastián del Oeste       ,169,01/12/2021
Santa María de los Ángeles    ,44,01/12/2021
Sayula                        ,6074,01/12/2021
Tala                          ,16301,01/12/2021
Talpa de Allende              ,642,01/12/2021
Tamazula de Gordiano          ,8641,01/12/2021
Tapalpa                       ,3061,01/12/2021
Tecalitlán                    ,937,01/12/2021
Techaluta de Montenegro       ,427,01/12/2021
Tecolotlán                    ,1124,01/12/2021
Tenamaxtlán                   ,372,01/12/2021
Teocaltiche                   ,2244,01/12/2021
Teocuitatlán de Corona        ,468,01/12/2021
Tepatitlán de Morelos         ,43026,01/12/2021
Tequila                       ,8763,01/12/2021
Teuchitlán                    ,643,01/12/2021
Tizapán el Alto               ,1388,01/12/2021
Tlajomulco de Zúñiga          ,111146,01/12/2021
Tolimán                       ,978,01/12/2021
Tomatlán                      ,2254,01/12/2021
Tonalá                        ,36493,01/12/2021
Tonaya                        ,932,01/12/2021
Tonila                        ,403,01/12/2021
Totatiche                     ,462,01/12/2021
Tototlán                      ,2056,01/12/2021
Tuxcacuesco                   ,2961,01/12/2021
Tuxcueca                      ,467,01/12/2021
Tuxpan                        ,3796,01/12/2021
Unión de San Antonio          ,1493,01/12/2021
Unión de Tula                 ,651,01/12/2021
Valle de Guadalupe            ,2139,01/12/2021
Valle de Juárez               ,706,01/12/2021
Villa Corona                  ,1010,01/12/2021
Villa Guerrero                ,44,01/12/2021
Villa Hidalgo                 ,674,01/12/2021
Villa Purificación            ,188,01/12/2021
Yahualica de González Gallo   ,973,01/12/2021
Zacoalco de Torres            ,2621,01/12/2021
Zapopan                       ,450468,01/12/2021
Zapotiltic                    ,6581,01/12/2021
Zapotitlán de Vadillo         ,55,01/12/2021
Zapotlán del Rey              ,2341,01/12/2021
Zapotlán el Grande            ,45610,01/12/2021
Zapotlanejo                   ,7625,01/12/2021
Acatic                        ,5440,01/12/2022
Acatlán de Juárez             ,9513,01/12/2022
Ahualulco de Mercado          ,2241,01/12/2022
Amacueca                      ,101,01/12/2022
Amatitán                      ,3591,01/12/2022
Ameca                         ,8266,01/12/2022
Arandas                       ,14674,01/12/2022
Atemajac de Brizuela          ,898,01/12/2022
Atengo                        ,30,01/12/2022
Atenguillo                    ,93,01/12/2022
Atotonilco el Alto            ,12935,01/12/2022
Atoyac                        ,561,01/12/2022
Autlán de Navarro             ,11304,01/12/2022
Ayotlán                       ,4342,01/12/2022
Ayutla                        ,364,01/12/2022
Bolaños                       ,587,01/12/2022
Cabo Corrientes               ,598,01/12/2022
Cañadas de Obregón            ,155,01/12/2022
Casimiro Castillo             ,3496,01/12/2022
Chapala                       ,9130,01/12/2022
Chimaltitán                   ,55,01/12/2022
Chiquilistlán                 ,203,01/12/2022
Cihuatlán                     ,2869,01/12/2022
Cocula                        ,3811,01/12/2022
Colotlán                      ,606,01/12/2022
Concepción de Buenos Aires    ,131,01/12/2022
Cuautitlán de García Barragán ,52,01/12/2022
Cuautla                       ,182,01/12/2022
Cuquío                        ,587,01/12/2022
Degollado                     ,1074,01/12/2022
Ejutla                        ,11,01/12/2022
El Arenal                     ,3574,01/12/2022
El Grullo                     ,3132,01/12/2022
El Limón                      ,164,01/12/2022
El Salto                      ,68356,01/12/2022
Encarnación de Díaz           ,4862,01/12/2022
Etzatlán                      ,776,01/12/2022
Gómez Farías                  ,2913,01/12/2022
Guachinango                   ,156,01/12/2022
Guadalajara                   ,1086434,01/12/2022
Hostotipaquillo               ,182,01/12/2022
Huejúcar                      ,121,01/12/2022
Huejuquilla el Alto           ,1179,01/12/2022
Ixtlahuacán de los Membrillos ,6350,01/12/2022
Ixtlahuacán del Río           ,1417,01/12/2022
Jalostotitlán                 ,3089,01/12/2022
Jamay                         ,1320,01/12/2022
Jesús María                   ,1777,01/12/2022
Jilotlán de los Dolores       ,71,01/12/2022
Jocotepec                     ,8648,01/12/2022
Juanacatlán                   ,2238,01/12/2022
Juchitlán                     ,125,01/12/2022
La Barca                      ,7304,01/12/2022
La Huerta                     ,2482,01/12/2022
La Manzanilla de la Paz       ,150,01/12/2022
Lagos de Moreno               ,40809,01/12/2022
Magdalena                     ,2027,01/12/2022
Mascota                       ,1092,01/12/2022
Mazamitla                     ,983,01/12/2022
Mexticacán                    ,17,01/12/2022
Mezquitic                     ,323,01/12/2022
Mixtlán                       ,79,01/12/2022
Ocotlán                       ,27995,01/12/2022
Ojuelos de Jalisco            ,2658,01/12/2022
Pihuamo                       ,648,01/12/2022
Poncitlán                     ,5435,01/12/2022
Puerto Vallarta               ,89880,01/12/2022
Quitupan                      ,13,01/12/2022
San Cristóbal de la Barranca  ,134,01/12/2022
San Diego de Alejandría       ,90,01/12/2022
San Gabriel                   ,3370,01/12/2022
San Ignacio Cerro Gordo       ,1258,01/12/2022
San Juan de los Lagos         ,16489,01/12/2022
San Juanito de Escobedo       ,603,01/12/2022
San Julián                    ,1026,01/12/2022
San Marcos                    ,65,01/12/2022
San Martín de Bolaños         ,57,01/12/2022
San Martín Hidalgo            ,1349,01/12/2022
San Miguel el Alto            ,3994,01/12/2022
San Pedro Tlaquepaque         ,133019,01/12/2022
San Sebastián del Oeste       ,279,01/12/2022
Santa María de los Ángeles    ,93,01/12/2022
Sayula                        ,6472,01/12/2022
Tala                          ,17206,01/12/2022
Talpa de Allende              ,685,01/12/2022
Tamazula de Gordiano          ,8108,01/12/2022
Tapalpa                       ,3061,01/12/2022
Tecalitlán                    ,976,01/12/2022
Techaluta de Montenegro       ,637,01/12/2022
Tecolotlán                    ,1233,01/12/2022
Tenamaxtlán                   ,377,01/12/2022
Teocaltiche                   ,2473,01/12/2022
Teocuitatlán de Corona        ,648,01/12/2022
Tepatitlán de Morelos         ,43375,01/12/2022
Tequila                       ,9995,01/12/2022
Teuchitlán                    ,457,01/12/2022
Tizapán el Alto               ,1378,01/12/2022
Tlajomulco de Zúñiga          ,118967,01/12/2022
Tolimán                       ,1025,01/12/2022
Tomatlán                      ,2657,01/12/2022
Tonalá                        ,38303,01/12/2022
Tonaya                        ,897,01/12/2022
Tonila                        ,401,01/12/2022
Totatiche                     ,471,01/12/2022
Tototlán                      ,2136,01/12/2022
Tuxcacuesco                   ,3182,01/12/2022
Tuxcueca                      ,461,01/12/2022
Tuxpan                        ,4173,01/12/2022
Unión de San Antonio          ,1555,01/12/2022
Unión de Tula                 ,698,01/12/2022
Valle de Guadalupe            ,2280,01/12/2022
Valle de Juárez               ,763,01/12/2022
Villa Corona                  ,1337,01/12/2022
Villa Guerrero                ,54,01/12/2022
Villa Hidalgo                 ,708,01/12/2022
Villa Purificación            ,217,01/12/2022
Yahualica de González Gallo   ,1052,01/12/2022
Zacoalco de Torres            ,2625,01/12/2022
Zapopan                       ,486878,01/12/2022
Zapotiltic                    ,6304,01/12/2022
Zapotitlán de Vadillo         ,52,01/12/2022
Zapotlán del Rey              ,2614,01/12/2022
Zapotlán el Grande            ,46369,01/12/2022
Zapotlanejo                   ,8199,01/12/2022
Acatic                        ,5876,01/12/2023
Acatlán de Juárez             ,9991,01/12/2023
Ahualulco de Mercado          ,1753,01/12/2023
Amacueca                      ,90,01/12/2023
Amatitán                      ,3707,01/12/2023
Ameca                         ,8570,01/12/2023
Arandas                       ,15537,01/12/2023
Atemajac de Brizuela          ,1066,01/12/2023
Atengo                        ,81,01/12/2023
Atenguillo                    ,84,01/12/2023
Atotonilco el Alto            ,13669,01/12/2023
Atoyac                        ,563,01/12/2023
Autlán de Navarro             ,11357,01/12/2023
Ayotlán                       ,4581,01/12/2023
Ayutla                        ,357,01/12/2023
Bolaños                       ,506,01/12/2023
Cabo Corrientes               ,538,01/12/2023
Cañadas de Obregón            ,338,01/12/2023
Casimiro Castillo             ,3363,01/12/2023
Chapala                       ,7499,01/12/2023
Chimaltitán                   ,50,01/12/2023
Chiquilistlán                 ,223,01/12/2023
Cihuatlán                     ,2945,01/12/2023
Cocula                        ,4020,01/12/2023
Colotlán                      ,1266,01/12/2023
Concepción de Buenos Aires    ,162,01/12/2023
Cuautitlán de García Barragán ,66,01/12/2023
Cuautla                       ,332,01/12/2023
Cuquío                        ,543,01/12/2023
Degollado                     ,1117,01/12/2023
Ejutla                        ,12,01/12/2023
El Arenal                     ,3721,01/12/2023
El Grullo                     ,3121,01/12/2023
El Limón                      ,169,01/12/2023
El Salto                      ,74817,01/12/2023
Encarnación de Díaz           ,5272,01/12/2023
Etzatlán                      ,806,01/12/2023
Gómez Farías                  ,2832,01/12/2023
Guachinango                   ,179,01/12/2023
Guadalajara                   ,1131564,01/12/2023
Hostotipaquillo               ,202,01/12/2023
Huejúcar                      ,119,01/12/2023
Huejuquilla el Alto           ,1529,01/12/2023
Ixtlahuacán de los Membrillos ,8123,01/12/2023
Ixtlahuacán del Río           ,1531,01/12/2023
Jalostotitlán                 ,3496,01/12/2023
Jamay                         ,1348,01/12/2023
Jesús María                   ,2218,01/12/2023
Jilotlán de los Dolores       ,62,01/12/2023
Jocotepec                     ,8009,01/12/2023
Juanacatlán                   ,2524,01/12/2023
Juchitlán                     ,142,01/12/2023
La Barca                      ,8092,01/12/2023
La Huerta                     ,2432,01/12/2023
La Manzanilla de la Paz       ,191,01/12/2023
Lagos de Moreno               ,43338,01/12/2023
Magdalena                     ,2402,01/12/2023
Mascota                       ,1142,01/12/2023
Mazamitla                     ,1028,01/12/2023
Mexticacán                    ,21,01/12/2023
Mezquitic                     ,377,01/12/2023
Mixtlán                       ,61,01/12/2023
Ocotlán                       ,29162,01/12/2023
Ojuelos de Jalisco            ,2830,01/12/2023
Pihuamo                       ,792,01/12/2023
Poncitlán                     ,5497,01/12/2023
Puerto Vallarta               ,94279,01/12/2023
Quitupan                      ,5,01/12/2023
San Cristóbal de la Barranca  ,158,01/12/2023
San Diego de Alejandría       ,81,01/12/2023
San Gabriel                   ,3542,01/12/2023
San Ignacio Cerro Gordo       ,1346,01/12/2023
San Juan de los Lagos         ,15624,01/12/2023
San Juanito de Escobedo       ,613,01/12/2023
San Julián                    ,1079,01/12/2023
San Marcos                    ,51,01/12/2023
San Martín de Bolaños         ,55,01/12/2023
San Martín Hidalgo            ,1260,01/12/2023
San Miguel el Alto            ,3976,01/12/2023
San Pedro Tlaquepaque         ,143915,01/12/2023
San Sebastián del Oeste       ,286,01/12/2023
Santa María de los Ángeles    ,176,01/12/2023
Sayula                        ,7136,01/12/2023
Tala                          ,19952,01/12/2023
Talpa de Allende              ,711,01/12/2023
Tamazula de Gordiano          ,8144,01/12/2023
Tapalpa                       ,3232,01/12/2023
Tecalitlán                    ,1007,01/12/2023
Techaluta de Montenegro       ,915,01/12/2023
Tecolotlán                    ,1163,01/12/2023
Tenamaxtlán                   ,369,01/12/2023
Teocaltiche                   ,2537,01/12/2023
Teocuitatlán de Corona        ,733,01/12/2023
Tepatitlán de Morelos         ,44925,01/12/2023
Tequila                       ,9901,01/12/2023
Teuchitlán                    ,342,01/12/2023
Tizapán el Alto               ,1464,01/12/2023
Tlajomulco de Zúñiga          ,122060,01/12/2023
Tolimán                       ,998,01/12/2023
Tomatlán                      ,2835,01/12/2023
Tonalá                        ,39763,01/12/2023
Tonaya                        ,860,01/12/2023
Tonila                        ,473,01/12/2023
Totatiche                     ,291,01/12/2023
Tototlán                      ,2128,01/12/2023
Tuxcacuesco                   ,3318,01/12/2023
Tuxcueca                      ,485,01/12/2023
Tuxpan                        ,3903,01/12/2023
Unión de San Antonio          ,1662,01/12/2023
Unión de Tula                 ,709,01/12/2023
Valle de Guadalupe            ,2411,01/12/2023
Valle de Juárez               ,1017,01/12/2023
Villa Corona                  ,1361,01/12/2023
Villa Guerrero                ,50,01/12/2023
Villa Hidalgo                 ,716,01/12/2023
Villa Purificación            ,280,01/12/2023
Yahualica de González Gallo   ,1160,01/12/2023
Zacoalco de Torres            ,2964,01/12/2023
Zapopan                       ,503932,01/12/2023
Zapotiltic                    ,5944,01/12/2023
Zapotitlán de Vadillo         ,50,01/12/2023
Zapotlán del Rey              ,2284,01/12/2023
Zapotlán el Grande            ,45542,01/12/2023
Zapotlanejo                   ,8069,01/12/2023
Acatic                        ,6733,01/12/2024
Acatlán de Juárez             ,9581,01/12/2024
Ahualulco de Mercado          ,1466,01/12/2024
Amacueca                      ,83,01/12/2024
Amatitán                      ,3694,01/12/2024
Ameca                         ,8229,01/12/2024
Arandas                       ,17146,01/12/2024
Atemajac de Brizuela          ,901,01/12/2024
Atengo                        ,100,01/12/2024
Atenguillo                    ,73,01/12/2024
Atotonilco el Alto            ,12824,01/12/2024
Atoyac                        ,624,01/12/2024
Autlán de Navarro             ,11985,01/12/2024
Ayotlán                       ,4740,01/12/2024
Ayutla                        ,286,01/12/2024
Bolaños                       ,563,01/12/2024
Cabo Corrientes               ,445,01/12/2024
Cañadas de Obregón            ,142,01/12/2024
Casimiro Castillo             ,2760,01/12/2024
Chapala                       ,7375,01/12/2024
Chimaltitán                   ,46,01/12/2024
Chiquilistlán                 ,197,01/12/2024
Cihuatlán                     ,3099,01/12/2024
Cocula                        ,4458,01/12/2024
Colotlán                      ,596,01/12/2024
Concepción de Buenos Aires    ,162,01/12/2024
Cuautitlán de García Barragán ,67,01/12/2024
Cuautla                       ,401,01/12/2024
Cuquío                        ,527,01/12/2024
Degollado                     ,1037,01/12/2024
Ejutla                        ,9,01/12/2024
El Arenal                     ,3752,01/12/2024
El Grullo                     ,3525,01/12/2024
El Limón                      ,166,01/12/2024
El Salto                      ,78443,01/12/2024
Encarnación de Díaz           ,5500,01/12/2024
Etzatlán                      ,806,01/12/2024
Gómez Farías                  ,2500,01/12/2024
Guachinango                   ,173,01/12/2024
Guadalajara                   ,1164012,01/12/2024
Hostotipaquillo               ,260,01/12/2024
Huejúcar                      ,133,01/12/2024
Huejuquilla el Alto           ,1642,01/12/2024
Ixtlahuacán de los Membrillos ,7787,01/12/2024
Ixtlahuacán del Río           ,1419,01/12/2024
Jalostotitlán                 ,3774,01/12/2024
Jamay                         ,1429,01/12/2024
Jesús María                   ,2113,01/12/2024
Jilotlán de los Dolores       ,65,01/12/2024
Jocotepec                     ,7252,01/12/2024
Juanacatlán                   ,2486,01/12/2024
Juchitlán                     ,131,01/12/2024
La Barca                      ,7857,01/12/2024
La Huerta                     ,2546,01/12/2024
La Manzanilla de la Paz       ,202,01/12/2024
Lagos de Moreno               ,48346,01/12/2024
Magdalena                     ,2413,01/12/2024
Mascota                       ,836,01/12/2024
Mazamitla                     ,953,01/12/2024
Mexticacán                    ,18,01/12/2024
Mezquitic                     ,388,01/12/2024
Mixtlán                       ,68,01/12/2024
Ocotlán                       ,30399,01/12/2024
Ojuelos de Jalisco            ,2873,01/12/2024
Pihuamo                       ,1063,01/12/2024
Poncitlán                     ,5528,01/12/2024
Puerto Vallarta               ,95331,01/12/2024
Quitupan                      ,5,01/12/2024
San Cristóbal de la Barranca  ,160,01/12/2024
San Diego de Alejandría       ,78,01/12/2024
San Gabriel                   ,3921,01/12/2024
San Ignacio Cerro Gordo       ,1326,01/12/2024
San Juan de los Lagos         ,16333,01/12/2024
San Juanito de Escobedo       ,644,01/12/2024
San Julián                    ,1036,01/12/2024
San Marcos                    ,81,01/12/2024
San Martín de Bolaños         ,241,01/12/2024
San Martín Hidalgo            ,1202,01/12/2024
San Miguel el Alto            ,4253,01/12/2024
San Pedro Tlaquepaque         ,145223,01/12/2024
San Sebastián del Oeste       ,510,01/12/2024
Santa María de los Ángeles    ,162,01/12/2024
Santa María del Oro           ,3,01/12/2024
Sayula                        ,6411,01/12/2024
Tala                          ,20690,01/12/2024
Talpa de Allende              ,728,01/12/2024
Tamazula de Gordiano          ,7752,01/12/2024
Tapalpa                       ,3285,01/12/2024
Tecalitlán                    ,857,01/12/2024
Techaluta de Montenegro       ,1481,01/12/2024
Tecolotlán                    ,1192,01/12/2024
Tenamaxtlán                   ,397,01/12/2024
Teocaltiche                   ,2257,01/12/2024
Teocuitatlán de Corona        ,789,01/12/2024
Tepatitlán de Morelos         ,44748,01/12/2024
Tequila                       ,9523,01/12/2024
Teuchitlán                    ,368,01/12/2024
Tizapán el Alto               ,1567,01/12/2024
Tlajomulco de Zúñiga          ,124840,01/12/2024
Tolimán                       ,1153,01/12/2024
Tomatlán                      ,2863,01/12/2024
Tonalá                        ,43539,01/12/2024
Tonaya                        ,788,01/12/2024
Tonila                        ,428,01/12/2024
Totatiche                     ,262,01/12/2024
Tototlán                      ,2069,01/12/2024
Tuxcacuesco                   ,3785,01/12/2024
Tuxcueca                      ,567,01/12/2024
Tuxpan                        ,4284,01/12/2024
Unión de San Antonio          ,1578,01/12/2024
Unión de Tula                 ,668,01/12/2024
Valle de Guadalupe            ,2536,01/12/2024
Valle de Juárez               ,1050,01/12/2024
Villa Corona                  ,1419,01/12/2024
Villa Guerrero                ,40,01/12/2024
Villa Hidalgo                 ,731,01/12/2024
Villa Purificación            ,231,01/12/2024
Yahualica de González Gallo   ,1116,01/12/2024
Zacoalco de Torres            ,3059,01/12/2024
Zapopan                       ,520631,01/12/2024
Zapotiltic                    ,5484,01/12/2024
Zapotitlán de Vadillo         ,52,01/12/2024
Zapotlán del Rey              ,2518,01/12/2024
Zapotlán el Grande            ,45012,01/12/2024
Zapotlanejo                   ,7855,01/12/2024
