nombre_municipio,asegurados,fecha
Atoyac                        ,644,01/12/2016
Autlán de Navarro             ,10970,01/12/2016
Ayotlán                       ,3004,01/12/2016
Ayutla                        ,335,01/12/2016
Bolaños                       ,674,01/12/2016
Cabo Corrientes               ,376,01/12/2016
Cañadas de Obregón            ,22,01/12/2016
Casimiro Castillo             ,3139,01/12/2016
Chapala                       ,6131,01/12/2016
Chiquilistlán                 ,62,01/12/2016
Cihuatlán                     ,1714,01/12/2016
Cocula                        ,2388,01/12/2016
Colotlán                      ,456,01/12/2016
Concepción de Buenos Aires    ,82,01/12/2016
Cuautitlán de García Barragán ,42,01/12/2016
Cuautla                       ,50,01/12/2016
Cuquío                        ,347,01/12/2016
Degollado                     ,689,01/12/2016
Ejutla                        ,5,01/12/2016
El Arenal                     ,1085,01/12/2016
El Grullo                     ,3288,01/12/2016
El Limón                      ,158,01/12/2016
El Salto                      ,47706,01/12/2016
Encarnación de Díaz           ,3236,01/12/2016
Etzatlán                      ,677,01/12/2016
Gómez Farías                  ,1489,01/12/2016
Guachinango                   ,168,01/12/2016
Guadalajara                   ,967845,01/12/2016
Hostotipaquillo               ,200,01/12/2016
Huejúcar                      ,148,01/12/2016
Huejuquilla el Alto           ,87,01/12/2016
Ixtlahuacán de los Membrillos ,4293,01/12/2016
Ixtlahuacán del Río           ,631,01/12/2016
Jalostotitlán                 ,3078,01/12/2016
Jamay                         ,1166,01/12/2016
Jesús María                   ,1704,01/12/2016
Jilotlán de los Dolores       ,35,01/12/2016
Jocotepec                     ,6244,01/12/2016
Juanacatlán                   ,4320,01/12/2016
Juchitlán                     ,97,01/12/2016
La Barca                      ,7111,01/12/2016
La Huerta                     ,2610,01/12/2016
La Manzanilla de la Paz       ,50,01/12/2016
Lagos de Moreno               ,33587,01/12/2016
Magdalena                     ,3040,01/12/2016
Mascota                       ,1789,01/12/2016
Mazamitla                     ,1031,01/12/2016
Mexticacán                    ,11,01/12/2016
Mezquitic                     ,279,01/12/2016
Mixtlán                       ,99,01/12/2016
Ocotlán                       ,29759,01/12/2016
Ojuelos de Jalisco            ,1705,01/12/2016
Pihuamo                       ,736,01/12/2016
Poncitlán                     ,5661,01/12/2016
Puerto Vallarta               ,71714,01/12/2016
Quitupan                      ,5,01/12/2016
San Cristóbal de la Barranca  ,71,01/12/2016
San Diego de Alejandría       ,265,01/12/2016
San Gabriel                   ,3189,01/12/2016
San Ignacio Cerro Gordo       ,1032,01/12/2016
San Juan de los Lagos         ,11168,01/12/2016
San Juanito de Escobedo       ,379,01/12/2016
San Julián                    ,667,01/12/2016
San Marcos                    ,22,01/12/2016
San Martín de Bolaños         ,434,01/12/2016
San Martín Hidalgo            ,584,01/12/2016
San Miguel el Alto            ,3869,01/12/2016
San Pedro Tlaquepaque         ,101516,01/12/2016
